DUID,STATIONID,REGIONID,PARTICIPANTID,DUIDNAME,STATIONNAME,PARTICIPANTNAME,CONNECTIONPOINTID,DISPATCHTYPE,STARTTYPE,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,MAXCAPACITY,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,TRANSMISSIONLOSSFACTOR,STARTDATE,ENDDATE,COMMENCEDDATE,FIRSTDISPATCHDATE,TYPE,DESCRIPTION,MMS_ACTIVE,MMS_STARTDATE,MMS_ENDDATE,INTERMITTENTFLAG,FUELTYPE,COOLINGTYPE,COOLINGTYPE_COMMENT,CLASSIFICATIONID,TECHNOLOGYTYPE,THERMAL_EFFICIENCY_FACTOR,EMISSION_INTENSITY_FACTOR,GAS_PIPELINE_ID,OWNERSHIP_TYPE,OWNERSHIP_DESC,OWNERSHIP_LASTCHANGED,SCHEDULE_TYPE,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN,MINIMUMLOAD_LEVEL,RETIRED_MOTHBALLED,SUBREGION,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED
BARKIPS1,BARKIPS,SA1,TIPSCO,BARKER INLET PS,Barker Inlet Power Station,AGL Energy,SBPS1B,GENERATOR,FAST,275,211,Y,210,,,,1,1/7/2023 00:00,31/12/2999 00:00,15/10/2019 00:00,17/10/2019 09:30,Peak,"<p>&nbsp;Have picked peak for now as plant still commissioning.</p>
<p>12 x 18 MW units</p>",Y,15/10/2019 00:00,,N,Gas,Air,"Air cooled, but reasonably insensitive to ambient conditions",MS,Recip,7.89,,,Private,AGL,,SCHEDULED,,,9,,Adelaide,12,12,42,42,1
BARRON-1,BARRON,QLD1,CLEANCO,BARRON-1 BARRON GORG,Barron Gorge,CleanCo,QBGH1,GENERATOR,FAST,132,30,N,33,,,,0.959,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,18/12/1998 08:30,Intermed,<p>Barron Gorge transferred from Stanwell to CleanCo on 31 October 2019 as part of Qld GOC restructure</p>,Y,25/10/1998 00:00,,N,Hydro,Nil,,MS,Hydro,0,0,,Government,CleanCo (Qld Government),31/10/2019 00:00,SCHEDULED,,,,,Northern,1,1,4,4,0
BARRON-2,BARRON,QLD1,CLEANCO,BARRON-2 BARRON GORG,Barron Gorge,CleanCo,QBGH2,GENERATOR,FAST,132,30,N,33,,,,0.959,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,14/12/1998 08:30,Intermed,<p>&nbsp;Barron Gorge transferred from Stanwell to CleanCo on 31 October 2019 as part of Qld GOC restructure</p>,Y,25/10/1998 00:00,,N,Hydro,Nil,,MS,Hydro,0,0,,Government,CleanCo (Qld Government),31/10/2019 00:00,SCHEDULED,,,,,Northern,1,1,4,4,0
BLNKTAS,BASSLINK,TAS1,BASSLINK,BLNKTAS BASSLINK INT,Basslink,Basslink,TGT11,GENERATOR,NOT DISPATCHED,220,478,N,478,,,N,1,1/7/2023 00:00,31/12/2999 00:00,11/11/2005 00:00,,,,N,11/11/2005 00:00,6/6/2006 00:00,N,,,,MS,HV DC Link,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
BLNKVIC,BASSLINK,VIC1,BASSLINK,BLNKVIC BASSLINK INT,Basslink,Basslink,VLYP13,GENERATOR,NOT DISPATCHED,500,594,N,594,,,N,0.9755,1/7/2023 00:00,31/12/2999 00:00,11/11/2005 00:00,,,,N,11/11/2005 00:00,6/6/2006 00:00,N,,,,MS,HV DC Link,,,,,,,NON-SCHEDULED,,,,,,0,0,,,
BASTYAN,BASTYAN,TAS1,HYDROTAS,BASTYAN BASTYAN,Bastyan,Hydro Tasmania,TFA11,GENERATOR,SLOW,220,80,Y,88,,,,0.9202,1/7/2023 00:00,31/12/2999 00:00,16/5/2005 00:00,16/5/2005 14:00,Intermed,<p>&nbsp;Hydroelectric Corporation is also known as Hydro Tasmania</p>,Y,16/5/2005 00:00,,N,Hydro,Nil,,MS,Hydro,0,0,,Government,Hydro Tasmania (TAS Government),25/9/2009 00:00,SCHEDULED,,,,,Northern,2,2,40,40,0
BW04,BAYSW,NSW1,MACQGEN,BW04 BAYSWATER,Bayswater,AGL Energy,NBAY4,GENERATOR,SLOW,500,660,Y,700,,,,0.9651,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 00:30,Base,,Y,25/10/1998 00:00,,N,Coal-Black,Fresh,,MS,Boiler,9.43,0.93,,Government,AGL Energy,3/9/2014 00:00,SCHEDULED,,,330,,Hunter,3,3,140,140,0
BW02,BAYSW,NSW1,MACQGEN,BW02 BAYSWATER,Bayswater,AGL Energy,NBAY2,GENERATOR,SLOW,330,660,Y,700,,,,0.9646,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 00:30,Base,<p>Owner changed from Macquarie Generation to AGL Energy</p>,Y,25/10/1998 00:00,,N,Coal-Black,Fresh,,MS,Boiler,9.43,0.93,,Government,AGL Energy,3/9/2014 00:00,SCHEDULED,,,330,,Hunter,3,3,140,140,0
BAYNL1,BAYSW,NSW1,MACQGEN,BAYNL1 BAYSW,Bayswater,Macquarie Generation,NBAYL,GENERATOR,NOT DISPATCHED,330,25,N,30,,,N,0.9383,1/7/2007 00:00,20/9/2007 00:00,25/10/1998 00:00,,,,N,25/10/1998 00:00,6/6/2006 00:00,N,,,,,,,,,,,,NON-SCHEDULED,,,,,Hunter,0,0,,,
BW01,BAYSW,NSW1,MACQGEN,BW01 BAYSWATER,Bayswater,AGL Energy,NBAY1,GENERATOR,SLOW,330,660,Y,700,,,,0.9646,1/7/2023 00:00,31/12/2999 00:00,25/10/1998 00:00,13/12/1998 00:30,Base,,Y,25/10/1998 00:00,,N,Coal-Black,Fresh,,MS,Boiler,9.43,0.93,,Government,AGL Energy,3/9/2014 00:00,SCHEDULED,,,330,,Hunter,3,3,140,140,0
